country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","09-01-2025 18:00:00",25.610369,85.132568,OZONE,23,25,24
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","09-01-2025 18:00:00",25.204762,85.514960,OZONE,29,54,36
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","09-01-2025 18:00:00",24.7955,84.9994,OZONE,19,21,20
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","09-01-2025 18:00:00",22.1910172,83.5197009,OZONE,1,57,39
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","09-01-2025 18:00:00",21.258815,81.578979,OZONE,1,2,1
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","09-01-2025 18:00:00",26.187500,91.744194,OZONE,16,16,16
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","09-01-2025 18:00:00",16.9872867,81.7363176,OZONE,1,5,2
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","09-01-2025 18:00:00",26.071318,91.87488,OZONE,21,142,51
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","09-01-2025 18:00:00",26.80365,84.51954,OZONE,22,23,23
India,Delhi,Delhi,"Mundka, Delhi - DPCC","09-01-2025 18:00:00",28.684678,77.076574,OZONE,7,111,54
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","09-01-2025 18:00:00",28.588333,77.221667,SO2,13,40,30
India,Delhi,Delhi,"ITO, Delhi - CPCB","09-01-2025 18:00:00",28.628624,77.241060,OZONE,13,35,23
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","09-01-2025 18:00:00",23.243639,72.68994,OZONE,1,70,47
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","09-01-2025 18:00:00",23.221714,72.654328,OZONE,22,23,22
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","09-01-2025 18:00:00",28.623763,77.287209,OZONE,1,103,58
India,Delhi,Delhi,"Pusa, Delhi - DPCC","09-01-2025 18:00:00",28.639652,77.146275,OZONE,3,38,21
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","09-01-2025 18:00:00",23.041137,72.456691,OZONE,20,46,36
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","09-01-2025 18:00:00",28.6811736,77.3025234,OZONE,11,30,26
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","09-01-2025 18:00:00",23.107969,72.574648,OZONE,6,145,94
India,Delhi,Delhi,"Bawana, Delhi - DPCC","09-01-2025 18:00:00",28.776200,77.051074,OZONE,2,136,76
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB","09-01-2025 18:00:00",13.003872,77.664217,OZONE,29,29,29
India,Karnataka,Tumakuru,"Thimmalapura, Tumakuru - KSPCB","09-01-2025 18:00:00",13.377516,77.099072,OZONE,4,7,6
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","09-01-2025 18:00:00",12.990328,77.5431385,CO,28,96,43
